"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 28 11:53:46 CST 2025","Thu Aug 28 11:53:47 CST 2025","1523","test_cloudTrader","test_cloudOrder_open_level","TestcloudTrader_openandlevel","","","账号管理-交易下单-平仓","
    ### 用例说明
    - 前置条件：有云策略和云跟单
    - 操作步骤：
      1. 修改云策略 策略状态为关闭
      2. 进行开仓
      3. 跟单账号跟单失败，有漏单数据，把redis数据和MySQL数据进行校验
      4. 修改云策略 策略状态为开启
      5. 进行补单操作，然后平仓
    - 预期结果：云策略 策略状态为关闭，有漏单数据
    "
"passed","Thu Aug 28 11:50:18 CST 2025","Thu Aug 28 11:50:20 CST 2025","1535","test_cloudTrader","test_cloudOrder_open_level","TestcloudTrader_openandlevel","","","云策略-云策略列表-修改云跟单","
    ### 用例说明
    - 前置条件：有云策略和云跟单
    - 操作步骤：
      1. 修改云跟单账号平仓-关闭
      2. 进行开仓
      3. 进行平仓
      4. 跟单账号平仓失败，有漏单数据，把redis数据和MySQL数据进行校验
      5. 修改云跟单账号平仓-开启
    - 预期结果：云跟单账号平仓-关闭，有漏单数据
    "
"passed","Thu Aug 28 11:53:29 CST 2025","Thu Aug 28 11:53:34 CST 2025","4315","test_cloudTrader","test_cloudOrder_open_level","TestcloudTrader_openandlevel","","","数据库校验-云策略列表-修改云策略是否成功","
    ### 用例说明
    - 前置条件：有云策略和云跟单
    - 操作步骤：
      1. 修改云策略 策略状态为关闭
      2. 进行开仓
      3. 跟单账号跟单失败，有漏单数据，把redis数据和MySQL数据进行校验
      4. 修改云策略 策略状态为开启
      5. 进行补单操作，然后平仓
    - 预期结果：云策略 策略状态为关闭，有漏单数据
    "
"passed","Thu Aug 28 11:53:48 CST 2025","Thu Aug 28 11:54:20 CST 2025","32352","test_cloudTrader","test_cloudOrder_open_level","TestcloudTrader_openandlevel","","","数据库校验-交易平仓-指令及订单详情数据检查","
    ### 用例说明
    - 前置条件：有云策略和云跟单
    - 操作步骤：
      1. 修改云策略 策略状态为关闭
      2. 进行开仓
      3. 跟单账号跟单失败，有漏单数据，把redis数据和MySQL数据进行校验
      4. 修改云策略 策略状态为开启
      5. 进行补单操作，然后平仓
    - 预期结果：云策略 策略状态为关闭，有漏单数据
    "
"passed","Thu Aug 28 11:51:06 CST 2025","Thu Aug 28 11:51:11 CST 2025","4320","test_cloudTrader","test_cloudOrder_open_level","TestcloudTrader_openandlevel","","","数据库校验-云策略列表-修改策略账号是否成功","
    ### 用例说明
    - 前置条件：有云策略和云跟单
    - 操作步骤：
      1. 修改云策略账号 策略状态为关闭
      2. 进行开仓
      3. 跟单账号跟单失败，有漏单数据，把redis数据和MySQL数据进行校验
      4. 修改云策略 策略状态为开启
      5. 进行补单操作，然后平仓
    - 预期结果：云策略 策略状态为关闭，有漏单数据
    "
"passed","Thu Aug 28 11:47:50 CST 2025","Thu Aug 28 11:47:54 CST 2025","4327","test_cloudTrader","test_cloudOrder_open_level","TestcloudTrader_openandlevel","","","数据库校验-云策略列表-修改云跟单账号是否成功","
    ### 用例说明
    - 前置条件：有云策略和云跟单
    - 操作步骤：
      1. 修改云跟单账号开仓-关闭
      2. 进行开仓
      3. 跟单账号开仓失败，有漏单数据，把redis数据和MySQL数据进行校验
      4. 修改云跟单账号开仓-开启
      5. 进行补单操作，然后平仓
    - 预期结果：云跟单账号开仓-关闭，有漏单数据
    "
"passed","Thu Aug 28 11:51:13 CST 2025","Thu Aug 28 11:51:30 CST 2025","16936","test_cloudTrader","test_cloudOrder_open_level","TestcloudTrader_openandlevel","","","数据库校验-账号管理-交易下单-根据remark发现有漏单","
    ### 用例说明
    - 前置条件：有云策略和云跟单
    - 操作步骤：
      1. 修改云策略账号 策略状态为关闭
      2. 进行开仓
      3. 跟单账号跟单失败，有漏单数据，把redis数据和MySQL数据进行校验
      4. 修改云策略 策略状态为开启
      5. 进行补单操作，然后平仓
    - 预期结果：云策略 策略状态为关闭，有漏单数据
    "
"passed","Thu Aug 28 11:50:26 CST 2025","Thu Aug 28 11:50:28 CST 2025","1502","test_cloudTrader","test_cloudOrder_open_level","TestcloudTrader_openandlevel","","","云策略-云策略列表-修改完之后进行平仓补全","
    ### 用例说明
    - 前置条件：有云策略和云跟单
    - 操作步骤：
      1. 修改云跟单账号平仓-关闭
      2. 进行开仓
      3. 进行平仓
      4. 跟单账号平仓失败，有漏单数据，把redis数据和MySQL数据进行校验
      5. 修改云跟单账号平仓-开启
    - 预期结果：云跟单账号平仓-关闭，有漏单数据
    "
"passed","Thu Aug 28 11:48:50 CST 2025","Thu Aug 28 11:49:26 CST 2025","35567","test_cloudTrader","test_cloudOrder_open_level","TestcloudTrader_openandlevel","","","数据库校验-交易平仓-指令及订单详情数据检查","
    ### 用例说明
    - 前置条件：有云策略和云跟单
    - 操作步骤：
      1. 修改云跟单账号开仓-关闭
      2. 进行开仓
      3. 跟单账号开仓失败，有漏单数据，把redis数据和MySQL数据进行校验
      4. 修改云跟单账号开仓-开启
      5. 进行补单操作，然后平仓
    - 预期结果：云跟单账号开仓-关闭，有漏单数据
    "
"passed","Thu Aug 28 11:47:56 CST 2025","Thu Aug 28 11:48:13 CST 2025","16937","test_cloudTrader","test_cloudOrder_open_level","TestcloudTrader_openandlevel","","","数据库校验-账号管理-交易下单-根据remark发现有漏单","
    ### 用例说明
    - 前置条件：有云策略和云跟单
    - 操作步骤：
      1. 修改云跟单账号开仓-关闭
      2. 进行开仓
      3. 跟单账号开仓失败，有漏单数据，把redis数据和MySQL数据进行校验
      4. 修改云跟单账号开仓-开启
      5. 进行补单操作，然后平仓
    - 预期结果：云跟单账号开仓-关闭，有漏单数据
    "
